"","gender","age","sibsp","parch","fare","embarked","class","who","alone","survived"
"176","Male",18,1,1,8,"S","Third","man","FALSE",0
"177","Male",27,3,1,26,"S","Third","man","FALSE",0
"178","Female",50,0,0,29,"C","First","woman","TRUE",0
"179","Male",30,0,0,13,"S","Second","man","TRUE",0
"180","Male",36,0,0,14.5,"S","Third","man","TRUE",0
"181","Female",27,8,2,70,"S","Third","woman","FALSE",0
"182","Male",27,0,0,16,"C","Second","man","TRUE",0
"183","Male",9,4,2,32,"S","Third","child","FALSE",0
"184","Male",1,2,1,39,"S","Second","child","FALSE",1
"185","Female",4,0,2,23,"S","Third","child","FALSE",1
"186","Male",27,0,0,50,"S","First","man","TRUE",0
"187","Female",27,1,0,16,"Q","Third","woman","FALSE",1
"188","Male",45,0,0,27,"S","First","man","TRUE",1
"189","Male",40,1,1,16,"Q","Third","man","FALSE",0
"190","Male",36,0,0,8,"S","Third","man","TRUE",0
"191","Female",32,0,0,13,"S","Second","woman","TRUE",1
"192","Male",19,0,0,13,"S","Second","man","TRUE",0
"193","Female",19,1,0,8,"S","Second","woman","FALSE",1
"194","Male",3,1,1,26,"S","Second","child","FALSE",1
"195","Female",44,0,0,28,"C","First","woman","TRUE",1
"196","Female",58,0,0,147,"C","First","woman","TRUE",1
"197","Male",27,0,0,8,"Q","Third","man","TRUE",0
"198","Male",42,0,1,9,"S","Third","man","FALSE",0
"199","Female",27,0,0,8,"Q","Third","woman","TRUE",1
"200","Female",24,0,0,13,"S","Second","woman","TRUE",0
"201","Male",28,0,0,10,"S","Third","man","TRUE",0
"202","Male",27,8,2,70,"S","Third","man","FALSE",0
"203","Male",34,0,0,7,"S","Third","man","TRUE",0
"204","Male",45,0,0,8,"C","Third","man","TRUE",0
"205","Male",18,0,0,9,"S","Third","man","TRUE",1
"206","Female",2,0,1,11,"S","Third","child","FALSE",0
"207","Male",32,1,0,16,"S","Third","man","FALSE",0
"208","Male",26,0,0,19,"C","Third","man","TRUE",1
"209","Female",16,0,0,8,"Q","Third","woman","TRUE",1
"210","Male",40,0,0,31,"C","First","man","TRUE",1
"211","Male",24,0,0,8,"S","Third","man","TRUE",0
"212","Female",35,0,0,21,"S","Second","woman","TRUE",1
"213","Male",22,0,0,8,"S","Third","man","TRUE",0
"214","Male",30,0,0,13,"S","Second","man","TRUE",0
"215","Male",27,1,0,8,"Q","Third","man","FALSE",0
"216","Female",31,1,0,114,"C","First","woman","FALSE",1
"217","Female",27,0,0,8,"S","Third","woman","TRUE",1
"218","Male",42,1,0,27,"S","Second","man","FALSE",0
"219","Female",32,0,0,77,"C","First","woman","TRUE",1
"220","Male",30,0,0,11,"S","Second","man","TRUE",0
"221","Male",16,0,0,9,"S","Third","man","TRUE",1
"222","Male",27,0,0,13,"S","Second","man","TRUE",0
"223","Male",51,0,0,9,"S","Third","man","TRUE",0
"224","Male",27,0,0,8,"S","Third","man","TRUE",0
"225","Male",38,1,0,90,"S","First","man","FALSE",1
"226","Male",22,0,0,10,"S","Third","man","TRUE",0
"227","Male",19,0,0,11,"S","Second","man","TRUE",1
"228","Male",20,0,0,8,"S","Third","man","TRUE",0
"229","Male",18,0,0,13,"S","Second","man","TRUE",0
"230","Female",27,3,1,26,"S","Second","woman","FALSE",0
"231","Female",35,1,0,84,"S","First","woman","FALSE",1
"232","Male",29,0,0,8,"S","Third","man","TRUE",0
"233","Male",59,0,0,14,"S","Second","man","TRUE",0
"234","Female",5,4,2,32,"S","Third","child","FALSE",1
"235","Male",24,0,0,11,"S","Second","man","TRUE",0
"236","Female",27,0,0,8,"S","Third","woman","TRUE",0
"237","Male",44,1,0,26,"S","Second","man","FALSE",0
"238","Female",8,0,2,27,"S","Second","child","FALSE",1
"239","Male",19,0,0,11,"S","Second","man","TRUE",0
"240","Male",33,0,0,13,"S","Second","man","TRUE",0
"241","Female",27,1,0,15,"C","Third","woman","FALSE",0
"242","Female",27,1,0,16,"Q","Third","woman","FALSE",1
"243","Male",29,0,0,11,"S","Second","man","TRUE",0
"244","Male",22,0,0,8,"S","Third","man","TRUE",0
"245","Male",30,0,0,8,"C","Third","man","TRUE",0
"246","Male",44,2,0,90,"Q","First","man","FALSE",0
"247","Female",25,0,0,8,"S","Third","woman","TRUE",0
"248","Female",24,0,2,15,"S","Second","woman","FALSE",1
"249","Male",37,1,1,53,"S","First","man","FALSE",1
"250","Male",54,1,0,26,"S","Second","man","FALSE",0
